t,u,u_exact,u_approx
0.3503503503503503,0.2665736304351166,0.2665736304351166,0.25914945172243503
0.3603603603603603,0.2641690879636886,0.2641690879636886,0.25656830333369596
0.3703703703703703,0.2617740851550218,0.2617740851550218,0.25401286338078477
0.3803803803803803,0.2593887963346814,0.2593887963346814,0.2514828758057155
0.3903903903903903,0.2570133926684793,0.2570133926684793,0.2489780871008596
0.4004004004004003,0.2546480432311475,0.2546480432311475,0.24649824628354397
0.4104104104104104,0.2522929101413318,0.2522929101413318,0.24404310487090244
0.4204204204204204,0.2499481509889715,0.2499481509889715,0.24161241685497725
0.4304304304304304,0.247613920984371,0.247613920984371,0.23920593867806905
0.4404404404404404,0.2452903708890449,0.2452903708890449,0.23682342920833183
0.4504504504504504,0.2429776447329996,0.2429776447329996,0.23446464971561148
0.4604604604604604,0.2406758849890662,0.2406758849890662,0.23212936384752475
0.4704704704704704,0.2383852303953645,0.2383852303953645,0.22981733760577627
0.4804804804804805,0.2361058123755609,0.2361058123755609,0.227528339322712
0.4904904904904905,0.2338377607628662,0.2338377607628662,0.22526213963810543
0.5005005005005005,0.2315812025596272,0.2315812025596272,0.22301851147617588
0.5105105105105106,0.2293362572470607,0.2293362572470607,0.2207972300228349
0.5205205205205206,0.227103042260267,0.227103042260267,0.21859807270315984
0.5305305305305306,0.224881672947603,0.224881672947603,0.21642081915909156
0.5405405405405406,0.2226722576003793,0.2226722576003793,0.21426525122735424
0.5505505505505506,0.220474901625145,0.220474901625145,0.21213115291759524
0.5605605605605606,0.2182897086214191,0.2182897086214191,0.21001831039074262
0.5705705705705706,0.2161167765140479,0.2161167765140479,0.2079265119375782
0.5805805805805806,0.2139561990708169,0.2139561990708169,0.20585554795752403
0.5905905905905906,0.2118080681753157,0.2118080681753157,0.20380521093764034
0.6006006006006006,0.2096724719883707,0.2096724719883707,0.20177529543183223
0.6106106106106106,0.2075494928826466,0.2075494928826466,0.199765598040264
0.6206206206206206,0.2054392119394834,0.2054392119394834,0.1977759173889782
0.6306306306306306,0.2033417071973254,0.2033417071973254,0.19580605410971752
0.6406406406406406,0.201257050498199,0.201257050498199,0.19385581081994832
0.6506506506506506,0.1991853123159527,0.1991853123159527,0.19192499210308211
0.6606606606606606,0.1971265608608002,0.1971265608608002,0.19001340448889514
0.6706706706706707,0.1950808581002724,0.1950808581002724,0.18812085643414203
0.6806806806806807,0.1930482642122415,0.1930482642122415,0.18624715830336325
0.6906906906906907,0.1910288377034556,0.1910288377034556,0.18439212234988317
0.7007007007007007,0.1890226313816634,0.1890226313816634,0.18255556269699785
0.7107107107107107,0.1870296955401956,0.1870296955401956,0.18073729531934984
0.7207207207207207,0.1850500789682403,0.1850500789682403,0.17893713802448877
0.7307307307307307,0.1830838260701686,0.1830838260701686,0.1771549104346153
0.7407407407407407,0.181130977616325,0.181130977616325,0.1753904339685072
0.7507507507507507,0.1791915729543163,0.1791915729543163,0.1736435318236253
0.7607607607607607,0.1772656484682142,0.1772656484682142,0.17191402895839755
0.7707707707707707,0.1753532357970902,0.1753532357970902,0.1702017520746799
0.7807807807807807,0.1734543655508739,0.1734543655508739,0.1685065296003914
0.7907907907907907,0.1715690659791736,0.1715690659791736,0.16682819167232252
0.8008008008008007,0.1696973603342897,0.1696973603342897,0.16516657011911498
0.8108108108108109,0.1678392707400201,0.1678392707400201,0.16352149844441022
0.8208208208208209,0.1659948175941294,0.1659948175941294,0.1618928118101669
0.8308308308308309,0.1641640163691297,0.1641640163691297,0.1602803470201435
0.8408408408408409,0.1623468810436118,0.1623468810436118,0.1586839425035461
0.8508508508508509,0.1605434243145181,0.1605434243145181,0.1571034382988387
0.8608608608608609,0.1587536545144472,0.1587536545144472,0.15553867603771498
0.8708708708708709,0.156977577890564,0.156977577890564,0.1539894989292296
0.8808808808808809,0.1552151994877416,0.1552151994877416,0.15245575174408754
